,balance_RK,balance_p_value,balance_rvalue,balance_stderr,decay_RC_cost,decay_RC_mean,decay_RC_median,decay_RC_std,decay_amnt,euler_RC_mean,euler_RC_median,euler_RC_min_cost,euler_RC_std,euler_RK_mean,euler_RK_median,euler_RK_min_cost,euler_RK_std,euler_cost,euler_cost_mean,euler_test_cost,filename
2625,100.1646470372674,5.772636735071652e-17,-0.9150496639967144,0.000704662461776016,,,,,,150.64386654731814,148.76014325773036,170.32278357065377,14.94637863534257,159.33698678420865,169.85058200432553,113.06992145818519,31.684511391804204,3.7025003780940926,38.79465675872513,,ab7ef3355baf13354e9ec73710cbee1edcd561c7.csv
2350,103.64228705990891,0.0014607585865067901,-0.6488939767117587,0.002595541483646341,14.47965300247376,113.11364152827944,111.08794503089258,15.086354677059935,13.0,97.67271912291292,92.38801262326585,106.05842994189938,13.999211194468103,89.8572839496799,87.22575168027296,98.12981227979022,8.896466492534655,62.80225979278917,10.595097687572235,,8d1a4248a1820d0451758d70e68a6626175e02fd.csv
84,44.070879200716504,0.00044138255922357157,-0.5295820738942333,0.00589591936234136,,,,,,,,,,,,,,,,,b4a3161838d02bbf8c66987d0f1bdc3d376d2d9d.csv
1308,73.0825818144253,5.292360595379287e-10,-0.8012406146764822,0.0016576050179656484,,,,,,246.07470093432798,253.48571279650358,265.98199827528595,61.77103958070697,96.68876260773699,95.7551700365968,95.7551700365968,14.123499388317024,1.6554575555301212,2.653231850366815,,61c1189f8ddf17dd3d718b80137c57ec89eb1baa.csv
54,59.87222040189676,3.5027480966550516e-10,-0.8183087765612411,0.001955271040943569,,,,,,,,,,,,,,,,,f078a461d3f6e2bae2ab81e32b0f6db9f57dbbf9.csv
1831,85.21154385538225,1.5878819537027509e-09,-0.7880231721871558,0.001487310162068006,,,,,,153.92496868752832,153.89280669658666,142.64964234624819,18.9331888200757,90.52713427943135,90.83157812155456,85.69932047600528,6.438862067260343,12.663596793870958,3.4974259713453257,,94604ce588b6448d7460b5fce4fe149136b7e12f.csv
2156,85.21154385538225,1.5878819537027509e-09,-0.7880231721871558,0.001487310162068006,,,,,,153.92496868752832,153.89280669658666,142.64964234624819,18.9331888200757,90.52713427943135,90.83157812155456,85.69932047600528,6.438862067260343,12.663596793870958,3.4974259713453257,,94604ce588b6448d7460b5fce4fe149136b7e12f.csv
1590,108.72153882776668,3.5088172739235146e-10,-0.8310688889951995,0.0010556381744133813,,,,,,190.120651302184,200.50100526437126,240.22862186558328,37.32638831244659,93.10271602854715,89.67607655067013,114.3935071363876,11.704826806957,3.765682422138133,5.735913574687503,,0c8edeee4a8edc0a29370f8c757af6d91813c778.csv
1191,214.986718988379,0.0007957720857566388,-0.5090277160219736,0.0012759458286514685,1.7667951147434713,228.2641634936038,228.2641634936038,8.347679722135178,2.0,266.4009423980512,236.77321404543238,251.96576084363878,115.92363072372112,117.93410346227036,113.8114323785718,119.16615515453732,26.518128558498454,28.492834268267277,17.987726871380055,,154fe853231e0d5035e3952f2f648f10155f948d.csv
2052,31.563894217485167,0.0008468282031783888,-0.5010793244684532,0.008761696520493717,38.01181080007112,97.72533404388356,97.72533404388356,,1.0,134.27484100260926,135.42780437648543,157.5800139218562,38.600600819182596,49.167116856950386,49.11993552423546,67.24318092290682,17.010790506543216,11.861022147771523,21.794783142693873,,2a9142d304388c25ce50e20c2c179698fe902eeb.csv
